# FM lock-in sweep, 2026-07-16T12:33:14, f_mod_Hz=5000.0, power_dBm=16.0, t_int_ms~8
freq_MHz,lockin_R
2850.0000,0.00000786
2850.2500,0.00001250
2850.5000,0.00000533
2850.7500,0.00001185
2851.0000,0.00000441
2851.2500,0.00001493
2851.5000,0.00000417
2851.7500,0.00000361
2852.0000,0.00001238
2852.2500,0.00000791
2852.5000,0.00001206
2852.7500,0.00000674
2853.0000,0.00000642
2853.2500,0.00000738
2853.5000,0.00000384
2853.7500,0.00000711
2854.0000,0.00001252
2854.2500,0.00000493
2854.5000,0.00000513
2854.7500,0.00001119
2855.0000,0.00001792
2855.2500,0.00001075
2855.5000,0.00001208
2855.7500,0.00001189
2856.0000,0.00000653
2856.2500,0.00002731
2856.5000,0.00001838
2856.7500,0.00001798
2857.0000,0.00003554
2857.2500,0.00004084
2857.5000,0.00004635
2857.7500,0.00005078
2858.0000,0.00006629
2858.2500,0.00002689
2858.5000,0.00006918
2858.7500,0.00000449
2859.0000,0.00007043
2859.2500,0.00008247
2859.5000,0.00009106
2859.7500,0.00009188
2860.0000,0.00009466
2860.2500,0.00010129
2860.5000,0.00010909
2860.7500,0.00012827
2861.0000,0.00012488
2861.2500,0.00016064
2861.5000,0.00017148
2861.7500,0.00016156
2862.0000,0.00020816
2862.2500,0.00023516
2862.5000,0.00014654
2862.7500,0.00033732
2863.0000,0.00040805
2863.2500,0.00030797
2863.5000,0.00052797
2863.7500,0.00057334
2864.0000,0.00040697
2864.2500,0.00066247
2864.5000,0.00072075
2864.7500,0.00049803
2865.0000,0.00078141
2865.2500,0.00080788
2865.5000,0.00077046
2865.7500,0.00075255
2866.0000,0.00069131
2866.2500,0.00062672
2866.5000,0.00044263
2866.7500,0.00026828
2867.0000,0.00016555
2867.2500,0.00013851
2867.5000,0.00035079
2867.7500,0.00013510
2868.0000,0.00064087
2868.2500,0.00066395
2868.5000,0.00061016
2868.7500,0.00051695
2869.0000,0.00039186
2869.2500,0.00027947
2869.5000,0.00004864
2869.7500,0.00012833
2870.0000,0.00013203
2870.2500,0.00044522
2870.5000,0.00056251
2870.7500,0.00045503
2871.0000,0.00067786
2871.2500,0.00063377
2871.5000,0.00055794
2871.7500,0.00031720
2872.0000,0.00011019
2872.2500,0.00006927
2872.5000,0.00031117
2872.7500,0.00048536
2873.0000,0.00052740
2873.2500,0.00072682
2873.5000,0.00079551
2873.7500,0.00077430
2874.0000,0.00082897
2874.2500,0.00079703
2874.5000,0.00077795
2874.7500,0.00073620
2875.0000,0.00068366
2875.2500,0.00060415
2875.5000,0.00059462
2875.7500,0.00054611
2876.0000,0.00011896
2876.2500,0.00041401
2876.5000,0.00034747
2876.7500,0.00015523
2877.0000,0.00026089
2877.2500,0.00022542
2877.5000,0.00007831
2877.7500,0.00018382
2878.0000,0.00017563
2878.2500,0.00010810
2878.5000,0.00015387
2878.7500,0.00014163
2879.0000,0.00009314
2879.2500,0.00012952
2879.5000,0.00011142
2879.7500,0.00010619
2880.0000,0.00009372
2880.2500,0.00008466
2880.5000,0.00006364
2880.7500,0.00007850
2881.0000,0.00007541
2881.2500,0.00003697
2881.5000,0.00006369
2881.7500,0.00005065
2882.0000,0.00004871
2882.2500,0.00005030
2882.5000,0.00003693
2882.7500,0.00003390
2883.0000,0.00002640
2883.2500,0.00002679
2883.5000,0.00002435
2883.7500,0.00002983
2884.0000,0.00001759
2884.2500,0.00001044
2884.5000,0.00001444
2884.7500,0.00001495
2885.0000,0.00001718
2885.2500,0.00001347
2885.5000,0.00001470
2885.7500,0.00001221
2886.0000,0.00001319
2886.2500,0.00001641
2886.5000,0.00001281
2886.7500,0.00001039
2887.0000,0.00001606
2887.2500,0.00000705
2887.5000,0.00001120
2887.7500,0.00000478
2888.0000,0.00001577
2888.2500,0.00001169
2888.5000,0.00000411
2888.7500,0.00000781
2889.0000,0.00000912
2889.2500,0.00000135
2889.5000,0.00000660
2889.7500,0.00000487
2890.0000,0.00001074
2890.2500,0.00000846
2890.5000,0.00000649
2890.7500,0.00001091
2891.0000,0.00000709
2891.2500,0.00001302
2891.5000,0.00000455
2891.7500,0.00001231
2892.0000,0.00000722
2892.2500,0.00000494
2892.5000,0.00000562
2892.7500,0.00001505
2893.0000,0.00001582
2893.2500,0.00000808
2893.5000,0.00001342
2893.7500,0.00000914
2894.0000,0.00000604
2894.2500,0.00000962
2894.5000,0.00000417
2894.7500,0.00000515
2895.0000,0.00000783
2895.2500,0.00000519
2895.5000,0.00001182
2895.7500,0.00000441
2896.0000,0.00001179
2896.2500,0.00000076
2896.5000,0.00000495
2896.7500,0.00000660
2897.0000,0.00000618
2897.2500,0.00000509
2897.5000,0.00000590
2897.7500,0.00000550
2898.0000,0.00000273
2898.2500,0.00000537
2898.5000,0.00001066
2898.7500,0.00000680
2899.0000,0.00000546
2899.2500,0.00000301
2899.5000,0.00000907
2899.7500,0.00000594
2900.0000,0.00000331
